;2018
Austria;445075
Belgium;533097
Bulgaria;68558
Croatia;60752
Cyprus;24949
CzechRepublic;250680
Denmark;350104
Estonia;31471
Finland;269296
France;2715518
Germany;3861123
Greece;209852
Hungary;163469
Ireland;388698
Italy;2003576
Latvia;34102
Lithuania;54627
Luxembourg;71104
Malta;14989
Netherlands;907050
Poland;595858
Portugal;238785
Romania;250077
SlovakRepublic;105079
Slovenia;54174
Spain;1393490
Sweden;530883
