;2018
Austria;3100
Belgium;3237.45
Bulgaria;1464
Croatia;135
Cyprus;22.2
CzechRepublic;5471.3
Denmark;1445
Estonia;79
Finland;1240
France;57557
Germany;100140
Greece;7963.33
Hungary;5489
Ireland;2558
Italy;97139.95
Latvia;524.8
Lithuania;1468
Luxembourg;478.624
Malta;253.22
Netherlands;16966.5
Poland;29961.8
Portugal;1007.35
Romania;2013.5
SlovakRepublic;4413
Slovenia;2228.047
Spain;30000
Sweden;4639
